id,name,adm2,adm1,lat,lon
101020100,上海,上海,上海市,31.23171,121.47264
101290501,保山,保山,云南省,25.11180,99.16713
101290504,施甸,保山,云南省,24.73085,99.18376
101290505,昌宁,保山,云南省,24.82366,99.61234
101290506,腾冲,保山,云南省,25.01757,98.49729
101290503,龙陵,保山,云南省,24.59191,98.69357
101290213,大理市,大理白族自治州,云南省,25.67847,100.30161
101290602,西畴,文山,云南省,23.43744,104.67571
101290601,文山州,文山壮族苗族自治州,云南省,23.36951,104.24401
101290609,文山市,文山壮族苗族自治州,云南省,23.38683,104.23324
101290408,会泽,曲靖,云南省,26.41286,103.30004
101290409,宣威,曲靖,云南省,26.22778,104.09554
101290404,富源,曲靖,云南省,25.67064,104.25692
101290406,师宗,曲靖,云南省,24.82568,103.99381
101290401,曲靖,曲靖,云南省,25.50156,103.79785
101290402,沾益,曲靖,云南省,25.60088,103.81926
101290407,罗平,曲靖,云南省,24.88571,104.30927
101290403,陆良,曲靖,云南省,25.02288,103.65524
101290405,马龙,曲靖,云南省,25.42945,103.57876
101290811,楚雄市,楚雄彝族自治州,云南省,25.03295,101.54624
101290314,红河县,红河州,云南省,23.36895,102.42057
101080303,海南,乌海,内蒙古自治区,39.44153,106.88479
101080608,克什克腾,赤峰,内蒙古自治区,43.25623,117.54247
101080611,喀喇沁,赤峰,内蒙古自治区,41.92778,118.70857
101080613,宁城,赤峰,内蒙古自治区,41.59869,119.33924
101080606,巴林右旗,赤峰,内蒙古自治区,43.52896,118.67835
101080605,巴林左旗,赤峰,内蒙古自治区,43.98072,119.39174
101080614,敖汉,赤峰,内蒙古自治区,42.28701,119.90649
101080607,林西,赤峰,内蒙古自治区,43.60533,118.05775
101080609,翁牛特,赤峰,内蒙古自治区,42.93713,119.02262
101080601,赤峰,赤峰,内蒙古自治区,42.25688,118.88761
101080603,阿鲁旗,赤峰,内蒙古自治区,43.87240,120.06553
101080508,奈曼,通辽,内蒙古自治区,42.84685,120.66254
101080507,库伦,通辽,内蒙古自治区,42.73469,121.77489
101080506,开鲁,通辽,内蒙古自治区,43.60243,121.30880
101080509,扎鲁特,通辽,内蒙古自治区,44.55529,120.90527
101080503,科左中旗,通辽,内蒙古自治区,44.12661,123.31220
101080504,科左后旗,通辽,内蒙古自治区,42.93511,122.35677
101080501,通辽,通辽,内蒙古自治区,43.61743,122.26312
101080704,准格尔,鄂尔多斯,内蒙古自治区,39.86522,111.23834
101080703,达拉特,鄂尔多斯,内蒙古自治区,40.40408,110.04028
101080701,鄂尔多斯,鄂尔多斯,内蒙古自治区,39.60874,109.78247
101010100,北京,北京,北京市,39.90499,116.40529
101060210,丰满,吉林,吉林省,43.81659,126.56076
101060201,吉林,吉林,吉林省,43.84358,126.55302
101060207,昌邑,吉林,吉林省,43.85112,126.57076
101060206,桦甸,吉林,吉林省,42.97209,126.74545
101060203,永吉,吉林,吉林省,43.66742,126.50163
101060205,磐石,吉林,吉林省,42.94247,126.05993
101060202,舒兰,吉林,吉林省,44.41091,126.94782
101060209,船营,吉林,吉林省,43.84380,126.55239
101060204,蛟河,吉林,吉林省,43.72058,127.34274
101060208,龙潭,吉林,吉林省,43.90976,126.56143
101060802,乾安,松原,吉林省,45.00685,124.02436
101060801,松原,松原,吉林省,45.11824,124.82361
